id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
597102190121690062,Newly Renovated! - Classy Downstairs Flat,22810342,Michael,,Ward 1,44.94789,-123.02269,Entire home/apt,98,1,105,2025-09-07,2.65,5,230,20,
597152408679630910,Cozy Creek Cottage with lush backyard.,71531506,Jolie,,Ward 2,44.93189,-123.01289,Entire home/apt,75,2,201,2025-09-07,4.96,2,293,50,
597774178813498790,Modern Upstairs Loft - Newly Renovated!,22810342,Michael,,Ward 1,44.94767,-123.0224,Entire home/apt,98,1,82,2025-09-15,2.09,5,297,20,
608221513985952006,Cheerful 2 bedroom home w/parking on quiet street!,42853709,Annie,,Ward 2,44.91913,-123.03433,Entire home/apt,86,30,5,2024-05-01,0.16,4,61,0,
615341342147571495,Capitol Cabin! Designer Home w/ Soaring Windows,22694722,Heather,,Ward 7,44.91102,-123.04864,Entire home/apt,141,2,111,2025-09-10,2.84,1,314,14,
623983497251900795,Basement Paradise Entire house,438592492,Unstoppable,,Ward 8,44.9452936,-123.0733014,Entire home/apt,165,2,3,2025-09-04,1.08,9,323,3,
627040863803737509,Stunning Sanctuary Room.,438592492,Unstoppable,,Ward 8,44.945293,-123.073303,Private room,45,1,227,2025-09-19,5.81,9,350,46,
628202912314539345,More than five stars hotel.with Private bathroom.,438592492,Unstoppable,,Ward 8,44.94646,-123.07231,Private room,56,1,224,2025-09-22,5.60,9,315,77,
638534831759766829,Unique flat with character and a creek outside.,102278503,Victoria,,Ward 2,44.925831,-123.031693,Entire home/apt,63,60,5,2025-09-14,0.14,5,269,2,
642268829856491847,New Deck!  Live Plants and Earthy Atmosphere!,59330448,Jillian,,Ward 8,44.95054,-123.0655,Entire home/apt,152,3,125,2025-08-29,3.46,2,94,32,
645798569213587399,"Pringle Creek 1 bedroom with office, Central Air",102278503,Victoria,,Ward 2,44.92623,-123.03224,Entire home/apt,110,60,4,2025-06-29,0.11,5,179,1,
646390898420903521,Boho Rustic Chic Retreat,169326565,Malia,,Ward 7,44.87675,-123.07192,Private room,,1,0,,,1,0,0,
647232541551978262,Salem City Loft 227 two bedroom w/decks &parking,407581863,Warren,,Ward 1,44.94216611404998,-123.04039767406616,Entire home/apt,,30,13,2025-08-30,0.35,15,0,6,
652223274363434611,1 Bedroom Home in a New South Salem Community,105875570,Brad,,Ward 3,44.8992,-123.01843,Entire home/apt,,30,4,2024-08-24,0.15,1,0,0,
657469130359434129,Chic 3/2 Private Firepit and Bunkroom with EV2,71531506,Jolie,,Ward 2,44.93341,-123.0119,Entire home/apt,,2,114,2025-09-02,2.90,2,209,37,
666964316062811600,BRAND NEW SPACIOUS 1 BED ROOM WITH FIREPLACE,392515648,Pedro,,Ward 3,44.90171,-123.01905,Entire home/apt,150,2,30,2023-10-16,0.80,1,269,0,
669110199791378485,Cheerful 3 bedroom home with backyard garden,34958322,Thu,,Ward 4,44.87803,-123.0429,Entire home/apt,104,2,105,2025-08-25,2.72,1,267,25,
673484120312585648,Perfect Retreat,438592492,Unstoppable,,Ward 8,44.94567,-123.07367,Private room,49,1,180,2025-08-01,4.65,9,277,33,
688599973174128793,West Hills Retreat |  5-Star Amenities + W/D & AC,215058058,Joshua,,Ward 8,44.94331,-123.06883,Entire home/apt,169,1,108,2025-09-07,2.85,2,341,39,
688700628998389796,Suede- a small studio with style,172368364,Ellen,,Ward 2,44.93539,-123.02447,Entire home/apt,106,30,17,2025-06-13,0.49,13,283,4,
